,Net m²,Brüt m²,Binadaki Kat Sayısı,Isıtma Tipi,Bulunduğu Kat,Bina Yaşı,Mobilya Durumu,Kullanım Durumu,Krediye Uygun,Hayvan Dostu Patili Evler,Ada,Parsel,Listing No,Gross m²,Heating Type,Floor,Age of the Building,Usage Status,Maintenance Fee,Rental Income,Suitable for Bank Loan,Number of Rooms,Number of Bathrooms,Number of Floors of the Building,Status of the Property,House Type,"Video Home Tour
                                                                ?",Furnishing Status,Unit Exchange,Title Deed Status,From Whom,Pet Friendly Paws Houses,Fiyat,İl,İlçe,Mahalle,Oda
36,70,80m²,,,,,,,Hayır,,,,,,,,,,,,,,,,,,,,,,,,1800000,İstanbul,Arnavutköy,Haraççı, 2 + 1 
37,90,115m²,10-20 arası,Merkezi Sistem (Isı Payı Ölçer),14,6-10 arası,Sadece Beyaz Eşya,Boş,Hayır,,,,,,,,,,,,,,,,,,,,,,,,2250000,İstanbul,Arnavutköy,Hadımköy, 2 + 1 
38,140,160m²,,,,,,,Evet,,,,,,,,,,,,,,,,,,,,,,,,2350000,İstanbul,Arnavutköy,Anadolu, 4 + 2 
39,70,80m²,,,,,,,Evet,,,,,,,,,,,,,,,,,,,,,,,,1175000,İstanbul,Arnavutköy,Anadolu, 2 + 1 
40,85,95m²,3,Yerden Isıtma,1,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,1700000,İstanbul,Arnavutköy,Hadımköy, 2 + 1 
41,57,65m²,3,Yerden Isıtma,Giriş Katı,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,1100000,İstanbul,Arnavutköy,Hadımköy, 1 + 1 
42,90,100m²,4,,1,21-25 arası,Eşyasız,Kiracılı,Hayır,,,,,,,,,,,,,,,,,,,,,,,,1300000,İstanbul,Arnavutköy,Haraççı, 2 + 1 
43,170,190m²,3,Yerden Isıtma,3,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,2800000,İstanbul,Arnavutköy,Hadımköy, 4 + 2 
44,160,170m²,3,,Yüksek Giriş,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,1685000,İstanbul,Arnavutköy,Nenehatun, 3 + 2 
45,80,90m²,3,Kombi (Doğalgaz),2,4,,Mülk Sahibi,Hayır,,,,,,,,,,,,,,,,,,,,,,,,2295000,İstanbul,Arnavutköy,Taşoluk, 2 + 1 
46,130,150m²,3,Kombi (Doğalgaz),3,4,,Mülk Sahibi,Hayır,,,,,,,,,,,,,,,,,,,,,,,,2775000,İstanbul,Arnavutköy,Arnavutköy Merkez, 4 + 2 
47,115,125m²,4,Kombi (Doğalgaz),Giriş Katı,11-15 arası,,Mülk Sahibi,Hayır,,,,,,,,,,,,,,,,,,,,,,,,2275000,İstanbul,Arnavutköy,Mustafa Kemal Paşa, 3 + 1 
48,147,225m²,2,,,0,Eşyasız,Boş,Hayır,,,,,,,,,,,,,,,,,,,,,,,,16856000,İstanbul,Arnavutköy,Hadımköy, 3 + 1 
49,190,220m²,2,,Müstakil,4,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,2900000,İstanbul,Arnavutköy,Yavuz Selim, 6 + 2 
50,100,110m²,5,Kombi (Doğalgaz),1,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,1650000,İstanbul,Arnavutköy,Anadolu, 2 + 1 
51,199,200m²,2,Kombi (Doğalgaz),1,16-20 arası,,Boş,Hayır,,,,,,,,,,,,,,,,,,,,,,,,3250000,İstanbul,Arnavutköy,İmrahor, 2 + 1 
52,140,160m²,5,Kombi (Doğalgaz),4,4,,Boş,Hayır,,,,,,,,,,,,,,,,,,,,,,,,4495000,İstanbul,Arnavutköy,Karlıbayır, 3 + 1 
53,75,85m²,2,Merkezi Sistem (Isı Payı Ölçer),2,11-15 arası,,Boş,Hayır,,,,,,,,,,,,,,,,,,,,,,,,2250000,İstanbul,Arnavutköy,Adnan Menderes, 2 + 1 
54,72,75m²,4,Kombi (Doğalgaz),1,6-10 arası,,Boş,Hayır,,,,,,,,,,,,,,,,,,,,,,,,1595000,İstanbul,Arnavutköy,Anadolu, 2 + 1 
55,145,160m²,4,Kombi (Doğalgaz),4,1,Eşyasız,Mülk Sahibi,Evet,,,,,,,,,,,,,,,,,,,,,,,,2600000,İstanbul,Arnavutköy,Mustafa Kemal Paşa, 3 + 2 
56,75,85m²,4,Kombi (Doğalgaz),Bahçe katı,5,,,Evet,,206,8,,,,,,,,,,,,,,,,,,,,,1250000,İstanbul,Arnavutköy,Bolluca, 2 + 1 
57,77,100m²,6,,3,0,Eşyasız,Boş,Hayır,,,,,,,,,,,,,,,,,,,,,,,,1740000,İstanbul,Arnavutköy,Hadımköy, 2 + 1 
58,120,130m²,3,Yerden Isıtma,Bahçe katı,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,2850000,İstanbul,Arnavutköy,Hadımköy, 3 + 1 
59,160,185m²,4,Kombi (Doğalgaz),4,2,,,Evet,,,,,,,,,,,,,,,,,,,,,,,,2185000,İstanbul,Arnavutköy,Arnavutköy Merkez, 3 + 1 
60,95,105m²,4,Kombi (Doğalgaz),4,6-10 arası,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,1290000,İstanbul,Arnavutköy,Hastane, 2 + 1 
61,140,150m²,4,Kombi (Doğalgaz),Giriş Katı,3,Eşyasız,Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,1490000,İstanbul,Arnavutköy,Arnavutköy Merkez, 3 + 2 
62,90,115m²,10-20 arası,Merkezi Sistem (Isı Payı Ölçer),14,6-10 arası,,Boş,Hayır,,,,,,,,,,,,,,,,,,,,,,,,2150000,İstanbul,Arnavutköy,Hadımköy, 2 + 1 
63,80,89m²,4,Kombi (Doğalgaz),Yüksek Giriş,6-10 arası,Eşyasız,Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,1350000,İstanbul,Arnavutköy,Anadolu, 2 + 1 
64,95,110m²,4,,2,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,2050000,İstanbul,Arnavutköy,Mavigöl, 2 + 1 
65,165,195m²,4,,4,3,Eşyasız,Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,4050000,İstanbul,Arnavutköy,Hadımköy, 5 + 1 
66,160,180m²,5,Kalorifer (Doğalgaz),2,0,Sadece Mutfak,,Evet,Evet,,,,,,,,,,,,,,,,,,,,,,,1600000,İstanbul,Arnavutköy,İslambey, 2 + 1 
67,132,188m²,10-20 arası,,1,,,,Hayır,,,,,,,,,,,,,,,,,,,,,,,,15000000,İstanbul,Arnavutköy,Hadımköy, 4 + 1 
68,55,75m²,10-20 arası,,2,0,,,Hayır,,,,,,,,,,,,,,,,,,,,,,,,8250000,İstanbul,Arnavutköy,Hadımköy, 1 + 1 
69,44,70m²,10-20 arası,,2,0,,,Hayır,,,,,,,,,,,,,,,,,,,,,,,,8500000,İstanbul,Arnavutköy,Hadımköy, 1 + 1 
70,80,130m²,,,3,0,,,Hayır,,,,,,,,,,,,,,,,,,,,,,,,8300000,İstanbul,Arnavutköy,Hadımköy, 2 + 1 
71,50,70m²,10-20 arası,,1,0,,,Hayır,,,,,,,,,,,,,,,,,,,,,,,,8500000,İstanbul,Arnavutköy,Hadımköy, 1 + 1 
72,96,132m²,10-20 arası,,1,0,Eşyasız,,Hayır,,,,,,,,,,,,,,,,,,,,,,,,7500000,İstanbul,Arnavutköy,Hadımköy, 2 + 1 
73,50,70m²,10-20 arası,,3,0,,,Hayır,,,,,,,,,,,,,,,,,,,,,,,,8250000,İstanbul,Arnavutköy,Hadımköy, 1 + 1 
74,45,70m²,10-20 arası,,2,0,,,Hayır,,,,,,,,,,,,,,,,,,,,,,,,8300000,İstanbul,Arnavutköy,Hadımköy, 1 + 1 
75,78,128m²,10-20 arası,,3,0,,,Hayır,,,,,,,,,,,,,,,,,,,,,,,,8500000,İstanbul,Arnavutköy,Hadımköy, 2 + 1 
76,85,130m²,10-20 arası,,1,0,,,Hayır,,,,,,,,,,,,,,,,,,,,,,,,8200000,İstanbul,Arnavutköy,Hadımköy, 2 + 1 
77,50,70m²,10-20 arası,,2,0,,,Hayır,,,,,,,,,,,,,,,,,,,,,,,,8300000,İstanbul,Arnavutköy,Hadımköy, 1 + 1 
78,40,70m²,10-20 arası,,,0,Eşyasız,,Hayır,,,,,,,,,,,,,,,,,,,,,,,,8250000,İstanbul,Arnavutköy,Hadımköy, 1 + 1 
79,45,70m²,10-20 arası,,2,0,,,Hayır,,,,,,,,,,,,,,,,,,,,,,,,8250000,İstanbul,Arnavutköy,Hadımköy, 1 + 1 
80,55,70m²,,,1,0,,,Hayır,,,,,,,,,,,,,,,,,,,,,,,,8300000,İstanbul,Arnavutköy,Hadımköy, 1 + 1 
81,112,172m²,10-20 arası,,3,,,,Hayır,,,,,,,,,,,,,,,,,,,,,,,,10300000,İstanbul,Arnavutköy,Hadımköy, 3 + 1 
82,90,100m²,5,Kombi (Doğalgaz),2,0,Sadece Mutfak,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,1650000,İstanbul,Arnavutköy,Anadolu, 2 + 1 
83,88,103m²,4,Kombi (Doğalgaz),2,0,Eşyasız,Boş,Hayır,,,,,,,,,,,,,,,,,,,,,,,,3100000,İstanbul,Arnavutköy,İslambey, 3 + 1 
84,150,180m²,4,Kombi (Doğalgaz),4,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,3500000,İstanbul,Arnavutköy,İslambey, 4 + 1 
85,75,85m²,4,Kombi (Doğalgaz),Bahçe katı,6-10 arası,Eşyasız,Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,960000,İstanbul,Arnavutköy,Anadolu, 2 + 1 
86,190,230m²,4,,3,6-10 arası,,Mülk Sahibi,Evet,,,,,,,,,,,,,,,,,,,,,,,,3600000,İstanbul,Arnavutköy,Anadolu, 4 + 2 
87,110,130m²,4,Kombi (Doğalgaz),Bahçe katı,0,Eşyasız,Boş,Hayır,,,,,,,,,,,,,,,,,,,,,,,,1750000,İstanbul,Arnavutköy,Anadolu, 2 + 2 
88,130,150m²,4,Kombi (Doğalgaz),Çatı Katı,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,2550000,İstanbul,Arnavutköy,Anadolu, 4 + 2 
89,95,110m²,5,Kombi (Doğalgaz),3,5,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,2650000,İstanbul,Arnavutköy,Hadımköy, 2 + 1 
90,80,84m²,8,Merkezi Sistem (Isı Payı Ölçer),1,3,Eşyasız,Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,1480000,İstanbul,Arnavutköy,Deliklikaya, 2 + 1 
91,170,215m²,5,Kombi (Doğalgaz),4,5,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,4050000,İstanbul,Arnavutköy,Hadımköy, 5 + 1 
92,148,160m²,10-20 arası,Klima,14,6-10 arası,Sadece Beyaz Eşya,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,4250000,İstanbul,Arnavutköy,Yassıören, 3 + 1 
93,105,125m²,2,Klima,Giriş Katı,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,3150000,İstanbul,Arnavutköy,Taşoluk, 2 + 2 
94,180,245m²,2,Klima,2,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,4950000,İstanbul,Arnavutköy,Taşoluk, 3 + 2 
95,165,210m²,2,Klima,2,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,4790000,İstanbul,Arnavutköy,Taşoluk, 3 + 2 
96,88,110m²,2,Klima,1,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,2990000,İstanbul,Arnavutköy,Taşoluk, 2 + 1 
97,120,125m²,5,Kombi (Doğalgaz),1,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,1600000,İstanbul,Arnavutköy,İslambey, 3 + 1 
98,140,170m²,4,,4,4,Eşyasız,Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,3460000,İstanbul,Arnavutköy,Mavigöl, 3 + 1 
99,195,230m²,4,Kombi (Doğalgaz),3,1,Eşyasız,Mülk Sahibi,Evet,,,,,,,,,,,,,,,,,,,,,,,,2600000,İstanbul,Arnavutköy,Mavigöl, 4 + 2 
100,170,190m²,5,,4,0,Eşyasız,Boş,Hayır,,,,,,,,,,,,,,,,,,,,,,,,3000000,İstanbul,Arnavutköy,Karlıbayır, 3 + 2 
101,100,110m²,4,,2,2,Eşyasız,Mülk Sahibi,Evet,,,,,,,,,,,,,,,,,,,,,,,,2300000,İstanbul,Arnavutköy,Anadolu, 2 + 1 
102,75,95m²,4,,Giriş Katı,6-10 arası,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,1250000,İstanbul,Arnavutköy,İslambey, 2 + 1 
103,78,88m²,1,Kombi (Doğalgaz),1,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,1700000,İstanbul,Arnavutköy,Arnavutköy Merkez, 2 + 1 
104,110,140m²,6,Merkezi Sistem (Isı Payı Ölçer),1,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,3600000,İstanbul,Arnavutköy,Hadımköy, 3 + 1 
105,90,100m²,5,Kombi (Doğalgaz),2,0,Eşyasız,Mülk Sahibi,Evet,,,,,,,,,,,,,,,,,,,,,,,,1700000,İstanbul,Arnavutköy,Arnavutköy Merkez, 2 + 1 
106,80,95m²,6,Kombi (Doğalgaz),2,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,1750000,İstanbul,Arnavutköy,Anadolu, 2 + 1 
107,95,110m²,6,,1,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,3570000,İstanbul,Arnavutköy,Hicret, 2 + 1 
108,110,135m²,4,Kombi (Doğalgaz),Bahçe katı,16-20 arası,,Mülk Sahibi,Hayır,,,,,,,,,,,,,,,,,,,,,,,,975000,İstanbul,Arnavutköy,Atatürk, 2 + 1 
109,81,110m²,4,,3,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,2800000,İstanbul,Arnavutköy,Mareşal Fevzi Çakmak, 2 + 1 
110,400,450m²,3,Kombi (Doğalgaz),Müstakil,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,18500000,İstanbul,Arnavutköy,Bolluca, 7 + 2 
111,85,100m²,10-20 arası,Klima,5,4,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,1930000,İstanbul,Arnavutköy,Deliklikaya, 2 + 1 
112,80,95m²,5,,Giriş Katı,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,1850000,İstanbul,Arnavutköy,Anadolu, 2 + 1 
113,85,90m²,3,Merkezi Sistem (Isı Payı Ölçer),1,11-15 arası,Eşyasız,Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,2800000,İstanbul,Arnavutköy,Mehmet Akif Ersoy, 2 + 1 
114,70,80m²,10,Kombi (Doğalgaz),2,11-15 arası,,Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,1395000,İstanbul,Arnavutköy,Hadımköy, 2 + 1 
115,80,90m²,5,Kombi (Doğalgaz),1,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,1520000,İstanbul,Arnavutköy,Arnavutköy Merkez, 2 + 1 
116,115,125m²,10-20 arası,Kombi (Doğalgaz),15,26-30 arası,Sadece Beyaz Eşya,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,3500000,İstanbul,Ataşehir,İçerenköy, 3 + 1 
117,66,90m²,7,Merkezi Sistem (Isı Payı Ölçer),Giriş Katı,2,Eşyasız,Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,3450000,İstanbul,Ataşehir,Esatpaşa, 2 + 1 
118,88,117m²,20 ve üzeri,Merkezi Sistem (Isı Payı Ölçer),20 ve üzeri,11-15 arası,Eşyasız,Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,4800000,İstanbul,Ataşehir,Atatürk, 3 + 1 
119,100,110m²,7,Kombi (Doğalgaz),4,31-35 arası,Eşyasız,Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,2800000,İstanbul,Ataşehir,İçerenköy, 3 + 1 
120,85,95m²,10-20 arası,,11,31-35 arası,Eşyasız,Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,2700000,İstanbul,Ataşehir,İçerenköy, 2 + 1 
121,110,120m²,10-20 arası,,6,26-30 arası,Eşyasız,Mülk Sahibi,Evet,,,,,,,,,,,,,,,,,,,,,,,,3150000,İstanbul,Ataşehir,Mevlana, 3 + 1 
122,70,80m²,2,Kombi (Doğalgaz),1,6-10 arası,Eşyasız,Mülk Sahibi,Evet,Evet,,,,,,,,,,,,,,,,,,,,,,,2850000,İstanbul,Ataşehir,Esatpaşa, 2 + 1 
123,120,160m²,8,Merkezi Sistem (Isı Payı Ölçer),6,26-30 arası,Eşyasız,Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,8750000,İstanbul,Ataşehir,Atatürk, 3 + 1 
124,95,120m²,10-20 arası,,2,11-15 arası,Eşyasız,Kiracılı,Hayır,,,,,,,,,,,,,,,,,,,,,,,,4995000,İstanbul,Ataşehir,Atatürk, 3 + 1 
125,95,120m²,10-20 arası,Kombi (Doğalgaz),3,11-15 arası,Eşyalı (Mobilyalı),Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,4400000,İstanbul,Ataşehir,Atatürk, 3 + 1 
126,85,110m²,8,,1,26-30 arası,Eşyasız,Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,3200000,İstanbul,Ataşehir,Mevlana, 2 + 1 
127,150,180m²,20 ve üzeri,Merkezi Sistem (Isı Payı Ölçer),16,21-25 arası,Eşyasız,Mülk Sahibi,Evet,,,,,,,,,,,,,,,,,,,,,,,,8395000,İstanbul,Ataşehir,Atatürk, 4 + 1 
128,120,140m²,3,,Müstakil,21-25 arası,Eşyasız,Mülk Sahibi,Hayır,,,,,,,,,,,,,,,,,,,,,,,,2900000,İstanbul,Ataşehir,Barbaros, 3 + 1 
129,120,140m²,7,,7,6-10 arası,Eşyasız,Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,4300000,İstanbul,Ataşehir,Esatpaşa, 3 + 1 
130,106,134m²,20 ve üzeri,Yerden Isıtma,1,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,12400000,İstanbul,Ataşehir,Barbaros, 2 + 1 
131,75,85m²,20 ve üzeri,Yerden Isıtma,1,0,Eşyasız,,Evet,,,,,,,,,,,,,,,,,,,,,,,,9000000,İstanbul,Ataşehir,Barbaros, 1 + 1 
132,106,134m²,20 ve üzeri,Yerden Isıtma,1,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,12400000,İstanbul,Ataşehir,Barbaros, 2 + 1 
133,100,110m²,7,Kombi (Doğalgaz),6,26-30 arası,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,3230000,İstanbul,Ataşehir,İçerenköy, 3 + 1 
134,50,70m²,8,Merkezi Sistem (Isı Payı Ölçer),3,5,Eşyasız,,Evet,,,,,,,,,,,,,,,,,,,,,,,,2880000,İstanbul,Ataşehir,Örnek, 1 + 1 
135,100,110m²,,,,,,,Hayır,,,,,,,,,,,,,,,,,,,,,,,,1200000,İstanbul,Ataşehir,İçerenköy, 2 + 0 
136,130,154m²,3,,1,11-15 arası,,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,3950000,İstanbul,Ataşehir,Örnek, 3 + 1 
